Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
8,oleandra,palik,,56.0,2500,0,trocken
9,decado,bojko,,54.5,2500,0,trocken
10,alrune,best,,59.0,2500,0,trocken
11,gizmo,werning,,56.0,2500,0,trocken
12,nubia,hellyn,,56.0,2500,0,trocken
1,elgin,pecheur,,54.5,1800,0,trocken
2,feather storm,wandt,,53.5,1800,0,trocken
3,usbeke,ganbat,,62.0,1800,0,trocken
4,touch of time,best,,53.5,1800,0,trocken
5,naidoo,hofer,,54.0,1800,0,trocken
6,all gentleman,richter,,59.5,1800,0,trocken
7,fiftys brother,werning,,55.0,1800,0,trocken
8,liberta,bojko,,54.0,1800,0,trocken
9,little star,hellyn,,60.5,1800,0,trocken
